"","iso2c","iso3c","country","date","IC.CRD.LGL.XQ","unit","obs_status","footnote","last_updated"
"303","KE","KEN","Kenya",2003,NA,NA,NA,NA,2013-02-22
"304","KE","KEN","Kenya",2004,10,NA,NA,NA,2013-02-22
"305","KE","KEN","Kenya",2005,10,NA,NA,NA,2013-02-22
"306","KE","KEN","Kenya",2006,10,NA,NA,NA,2013-02-22
"307","KE","KEN","Kenya",2007,10,NA,NA,NA,2013-02-22
"308","KE","KEN","Kenya",2008,10,NA,NA,NA,2013-02-22
"309","KE","KEN","Kenya",2009,10,NA,NA,NA,2013-02-22
"310","KE","KEN","Kenya",2010,10,NA,NA,NA,2013-02-22
"311","KE","KEN","Kenya",2011,10,NA,NA,NA,2013-02-22
"312","KE","KEN","Kenya",2012,10,NA,NA,NA,2013-02-22
"313","LR","LBR","Liberia",2000,NA,NA,NA,NA,2013-02-22
"314","LR","LBR","Liberia",2001,NA,NA,NA,NA,2013-02-22
"315","LR","LBR","Liberia",2002,NA,NA,NA,NA,2013-02-22
"316","LR","LBR","Liberia",2003,NA,NA,NA,NA,2013-02-22
"317","LR","LBR","Liberia",2004,NA,NA,NA,NA,2013-02-22
"318","LR","LBR","Liberia",2005,NA,NA,NA,NA,2013-02-22
"319","LR","LBR","Liberia",2006,4,NA,NA,NA,2013-02-22
"320","LR","LBR","Liberia",2007,4,NA,NA,NA,2013-02-22
"321","LR","LBR","Liberia",2008,4,NA,NA,NA,2013-02-22
"322","LR","LBR","Liberia",2009,4,NA,NA,NA,2013-02-22
"323","LR","LBR","Liberia",2010,4,NA,NA,NA,2013-02-22
"324","LR","LBR","Liberia",2011,7,NA,NA,NA,2013-02-22
"325","LR","LBR","Liberia",2012,7,NA,NA,NA,2013-02-22
"326","LY","LBY","Libya",2000,NA,NA,NA,NA,2013-02-22
"327","LY","LBY","Libya",2001,NA,NA,NA,NA,2013-02-22
"328","LY","LBY","Libya",2002,NA,NA,NA,NA,2013-02-22
"329","LY","LBY","Libya",2003,NA,NA,NA,NA,2013-02-22
"330","LY","LBY","Libya",2004,NA,NA,NA,NA,2013-02-22
"331","LY","LBY","Libya",2005,NA,NA,NA,NA,2013-02-22
"332","LY","LBY","Libya",2006,NA,NA,NA,NA,2013-02-22
"333","LY","LBY","Libya",2007,NA,NA,NA,NA,2013-02-22
"334","LY","LBY","Libya",2008,NA,NA,NA,NA,2013-02-22
"335","LY","LBY","Libya",2009,NA,NA,NA,NA,2013-02-22
"336","LY","LBY","Libya",2010,NA,NA,NA,NA,2013-02-22
"337","LY","LBY","Libya",2011,NA,NA,NA,NA,2013-02-22
"338","LY","LBY","Libya",2012,NA,NA,NA,NA,2013-02-22
"339","LS","LSO","Lesotho",2000,NA,NA,NA,NA,2013-02-22
"340","LS","LSO","Lesotho",2001,NA,NA,NA,NA,2013-02-22
"341","LS","LSO","Lesotho",2002,NA,NA,NA,NA,2013-02-22
"342","LS","LSO","Lesotho",2003,NA,NA,NA,NA,2013-02-22
"343","LS","LSO","Lesotho",2004,6,NA,NA,NA,2013-02-22
"344","LS","LSO","Lesotho",2005,6,NA,NA,NA,2013-02-22
"345","LS","LSO","Lesotho",2006,6,NA,NA,NA,2013-02-22
"346","LS","LSO","Lesotho",2007,6,NA,NA,NA,2013-02-22
"347","LS","LSO","Lesotho",2008,6,NA,NA,NA,2013-02-22
"348","LS","LSO","Lesotho",2009,6,NA,NA,NA,2013-02-22
"349","LS","LSO","Lesotho",2010,6,NA,NA,NA,2013-02-22
"350","LS","LSO","Lesotho",2011,6,NA,NA,NA,2013-02-22
"351","LS","LSO","Lesotho",2012,6,NA,NA,NA,2013-02-22
"352","MA","MAR","Morocco",2000,NA,NA,NA,NA,2013-02-22
"353","MA","MAR","Morocco",2001,NA,NA,NA,NA,2013-02-22
"354","MA","MAR","Morocco",2002,NA,NA,NA,NA,2013-02-22
"355","MA","MAR","Morocco",2003,NA,NA,NA,NA,2013-02-22
"356","MA","MAR","Morocco",2004,3,NA,NA,NA,2013-02-22
"357","MA","MAR","Morocco",2005,3,NA,NA,NA,2013-02-22
"358","MA","MAR","Morocco",2006,3,NA,NA,NA,2013-02-22
"359","MA","MAR","Morocco",2007,3,NA,NA,NA,2013-02-22
"360","MA","MAR","Morocco",2008,3,NA,NA,NA,2013-02-22
"361","MA","MAR","Morocco",2009,3,NA,NA,NA,2013-02-22
"362","MA","MAR","Morocco",2010,3,NA,NA,NA,2013-02-22
"363","MA","MAR","Morocco",2011,3,NA,NA,NA,2013-02-22
"364","MA","MAR","Morocco",2012,3,NA,NA,NA,2013-02-22
"365","MG","MDG","Madagascar",2000,NA,NA,NA,NA,2013-02-22
"366","MG","MDG","Madagascar",2001,NA,NA,NA,NA,2013-02-22
"367","MG","MDG","Madagascar",2002,NA,NA,NA,NA,2013-02-22
"368","MG","MDG","Madagascar",2003,NA,NA,NA,NA,2013-02-22
"369","MG","MDG","Madagascar",2004,2,NA,NA,NA,2013-02-22
"370","MG","MDG","Madagascar",2005,2,NA,NA,NA,2013-02-22
"371","MG","MDG","Madagascar",2006,2,NA,NA,NA,2013-02-22
"372","MG","MDG","Madagascar",2007,2,NA,NA,NA,2013-02-22
"373","MG","MDG","Madagascar",2008,2,NA,NA,NA,2013-02-22
"374","MG","MDG","Madagascar",2009,2,NA,NA,NA,2013-02-22
"375","MG","MDG","Madagascar",2010,2,NA,NA,NA,2013-02-22
"376","MG","MDG","Madagascar",2011,2,NA,NA,NA,2013-02-22
"377","MG","MDG","Madagascar",2012,2,NA,NA,NA,2013-02-22
"378","ML","MLI","Mali",2000,NA,NA,NA,NA,2013-02-22
"379","ML","MLI","Mali",2001,NA,NA,NA,NA,2013-02-22
"380","ML","MLI","Mali",2002,NA,NA,NA,NA,2013-02-22
"381","ML","MLI","Mali",2003,NA,NA,NA,NA,2013-02-22
"382","ML","MLI","Mali",2004,3,NA,NA,NA,2013-02-22
"383","ML","MLI","Mali",2005,3,NA,NA,NA,2013-02-22
"384","ML","MLI","Mali",2006,3,NA,NA,NA,2013-02-22
"385","ML","MLI","Mali",2007,3,NA,NA,NA,2013-02-22
"386","ML","MLI","Mali",2008,3,NA,NA,NA,2013-02-22
"387","ML","MLI","Mali",2009,3,NA,NA,NA,2013-02-22
"388","ML","MLI","Mali",2010,3,NA,NA,NA,2013-02-22
"389","ML","MLI","Mali",2011,6,NA,NA,NA,2013-02-22
"390","ML","MLI","Mali",2012,6,NA,NA,NA,2013-02-22
"391","MZ","MOZ","Mozambique",2000,NA,NA,NA,NA,2013-02-22
"392","MZ","MOZ","Mozambique",2001,NA,NA,NA,NA,2013-02-22
"393","MZ","MOZ","Mozambique",2002,NA,NA,NA,NA,2013-02-22
"394","MZ","MOZ","Mozambique",2003,NA,NA,NA,NA,2013-02-22
"395","MZ","MOZ","Mozambique",2004,3,NA,NA,NA,2013-02-22
"396","MZ","MOZ","Mozambique",2005,3,NA,NA,NA,2013-02-22
"397","MZ","MOZ","Mozambique",2006,3,NA,NA,NA,2013-02-22
"398","MZ","MOZ","Mozambique",2007,3,NA,NA,NA,2013-02-22
"399","MZ","MOZ","Mozambique",2008,3,NA,NA,NA,2013-02-22
"400","MZ","MOZ","Mozambique",2009,3,NA,NA,NA,2013-02-22
